sentences,empathy,fluency,humour
So the other way to become more playful is to have a PLAYFUL FACE; by loosening your mouth and eye muscles by moving them around and singing your song.,0.5,0.03,0
"There's also another way to become more playful, and that's by having a PLAYFUL FACE.*You can have this by loosening up your mouth and eye muscles by moving them around and singing your song.",1,0.06,0
Having a PLAYFUL FACE is important for being in a playful mode. What's that? Let me show you…*Actually I think it's easier for both of us if I tell you; relax your mouth and eye muscles by moving them around and singing your song.,1,0.01,1
Another way to become more playful is to have a PLAYFUL FACE; by loosening up your mouth and eye muscles by moving them around and singing your song.,1,0.04,0
"Another way to become more playful is by having a PLAYFUL FACE. I'm not kidding!*To have this, loosen up your mouth and eye muscles by moving them around and singing your song.",1,0.03,1
Another way to become more playful is to have a PLAYFUL FACE.*Just relax your face muscles by moving them around and singing something of your choice.,1,0,0
"Another way to be playful is to have a PLAYFUL FACE, with relaxed and loose eye and mouth muscles obtained by moving them around and singing your song.",1,0,0
You can also become more playful by having a PLAYFUL FACE; by relaxing and loosening up you mouth and eye muscles by moving them around and singing your song.*Kind of like the funny things actors do before starting a scene.,1,0,0
Have you ever rewarded yourself on such achievements by giving yourself a smile or laugh.,0,0.06,0
"Have you tried congratulating yourself on these achievements, for example, with a laugh or smile?",0.5,0.18,0
"Did you try to congratulate yourself on these achievements, for example, with a laugh or smile?",0.5,0.18,0
Have you given yourself a laugh or smile to congratulate yourself on these accomplishments?,0,0.1,0
Have you ever tried congratulating yourself on your achievements with a laugh or a smile?,0,0.35,0
Have you tried congratulating yourself on these accomplishments. Maybe with a laugh or smile?,0.5,0.11,0
"Have you tried laughing or smiling to yourself, as a reward, after these achievements?",0,0.07,0
You should try to congratulate yourself after small achievements with a laugh or a smile sometimes... It'll do you lots of good - trust me!*Or have you already tried this?,1,0.03,1
Did you ever attempt to congratulate yourself with a laugh or smile on your small accomplishments?,0,0.1,0
"In the past, have you smiled or laughed to congratulate yourself on these accomplishments?",0.5,0.13,0
"After these achievements, have you ever given yourself a laugh or smile as self-congratulation?",0.5,0.14,0
"After these accomplishments, have you ever laughed or smiled at yourself as self-congratulation?",0.5,0.17,0
Have you ever tried being congratulatory towards yourself after these accomplishments - perhaps with a laugh or a smile?,0,0.09,0
"Have you tried congratulating yourself on these accomplishments, for example, by offering yourself a laugh or smile?",0.5,0.14,0
Congratulating yourself on such achievements is important for your general happiness.*Have you tried this before?,1,0.07,0
Congratulating yourself on such achievements is important. Have you ever attempted this?,1,0.1,0
Did you celebrate these with a laugh or smile?,0,0.05,0
Have you congratulated yourself on these accomplishments via a smile or laugh?,0,0.05,0
"Have you ever tried congratulating yourself on these achievements with a laugh or smile?*It seems most humans aren't very good at this, but with some practice I'm sure you can get the hang of it!",1,0.27,1
"It's easy for us to criticise ourselves for every little slip-up of, but have you ever tried the opposite? Congratulating yourself on these achievements with a laugh or smile?*With enough practise you'll become more playful and happy in no time!",1,0.11,1
"Have you ever tried to sweeten these achievements with a laugh or a smile? Trust me; it works wonders, and it's healthier than sugar!",0,0.17,1
Have you tried congratulating yourself on these achievements with a laugh or smile?,0.5,0.14,0
"Did you ever try congratulating yourself on these achievements with a laugh or smile? I'm not asking you to be self-centric, don't worry!",1,0.2,1
Have you tried congratulating yourself on these accomplishments in the past?*Maybe with a laugh or smile? Don't worry; I'm not asking you to be self-centric!,1,0.17,1
Have you tried laughing or smiling to yourself after these accomplishments?,0,0.05,0
Do you ever smile and laugh to acknowledge the fact you've done a good job.,0,0.14,0
Have you ever given yourself a congratulatory smile or laugh after these accomplishments.,0,0.06,0
"Have you tried patting yourself on the back for these achievements? I wouldn't in public!*Anyway, did you acknowledge these with a laugh or smile at yourself?",0.5,0.1,1
"Would you like to try this with something simple, like brushing your teeth?",0.5,0.3,0
"What about trying this on your own, over simple things, such as brushing your teeth?",0,0.14,0
"Maybe you could try this on your own, over simple things, like brushing your teeth, or walking your fish?*Ok maybe not the second one…",0.5,0,1
"How would you feel about doing this on your own, over simpler things, say... walking the dog? Well, it's simple for some!",0.5,0.13,1
"How would it make you feel doing this on your own, like once you've loaded the dishwasher?",0,0.19,0
"Try this on your own after simple accomplishments, like making the bed. How does that sound?",1,0.07,0
"How does it sound to try this on your own, over simple things, like doing your daily stretches?",0.5,0.08,0
What are your feeling towards trying this by yourself over simple things like washing your face?,0.5,0.06,0
"Do you feel comfortable trying this by yourself, after simple things, like flossing?*Okay, maybe that's not simple for me, but you get the idea!",1,0.11,1
"How do you feel about trying this after everyday chores, like tidying your room?*Who am I kidding? That's more of an everyYEAR chore!",0,0.01,1
"Would you feel good about attempting this yourself after any simple task, say washing your face? I guess this isn't simple for all of us, actually…",0.5,0,1
"Would you like to try this on your own after something simple, like making a to-do list?",0.5,0.17,0
"You could try this yourself with small things, like watering the plants. How does that sound?",1,0.12,0
"How about trying this technique on your own, after little things, such as combing your hair?",0.5,0.12,0
How would you feel about trying this yourself over small things like emptying the bins?,0.5,0.08,0
"Would you enjoy trying this on your own, over simple things, like brushing your hair?",0.5,0.11,0
What do you think about trying this out yourself in your everyday life over simple things like having a shower?,0.5,0.15,0
"You can try this yourself, after simple things, like doing the laundry. How does that sound?",1,0.1,1
"How would you feel about trying to do this after a simple achievement, like setting the table?",0.5,0.13,0
"How do you feel about doing this on your own, after small things, like making the bed?",0.5,0.23,0
"How about practicing this on your own with simple things, like feeding the fish?",0,0.1,0
"How would you feel about trying this on your own, over simple things, like brushing your teeth?",0.5,0.22,0
"How about trying this on your own, over simple things, such as brushing your teeth?",0,0.16,0
"How would you feel about trying this on your own, over simple things, like taking a shower?",0.5,0.2,0
How would you feel about doing this yourself over simple things like cleaning your fridge?,0,0.12,0
"If you feel comfortable, you can try laughing at this incongruity. ",0.5,0.24,0
"If you're feeling up to it, try laughing at this incongruity on your own. It can't bite!",0.5,0.21,1
Try laughing at this incongruity in your own time whenever you're up for it!,0,0.14,1
You can try laughing at this incongruity in your own time.,0,0.2,0
"If you feel like it, try to laugh at this incongruity by yourself. Don't worry, it won't get offended!",1,0.27,1
"Whenever you feel ready, try laughing at this incongruity on your own.",0,0.18,0
"Feel free to laugh at this incongruity by yourself, whenever you are ready. ",0,0.18,0
"Do try laughing at this incongruity, whenever it's a good time for you.",0,0.15,0
"If you are feeling up to it, try laughing this incongruity off on your own.",0.5,0.24,0
"If you feel like it, try to laugh at this incongruity in your own time.",0.5,0.27,0
"Whenever you're in the right frame of mind, feel free to try to laugh at this incongruity by yourself.",0,0.34,0
"Whenever you're in the right mind frame, do try laughing at this incongruity by yourself. If you're in the left mind frame, that works too!",1,0.12,1
"If you feel up to it, laugh at this incongruity on your own some time.",0.5,0.18,0
"If you like, have a laugh or two at this incongruity.",0.5,0.26,0
"Whenever you are feeling up to it, try laughing at this incongruity by yourself.",0,0.21,0
"Do attempt to laugh this incongruity off, whenever you feel like it.",0,0.17,0
"How about trying to laugh at this incongruity on your own? If I can do it, I'm sure you can!",1,0.31,1
"When you feel up to it, try to use this incongruity as a trigger for your laughter. So you can shoot laughter and smiles into the world!",1,0.1,1
"If you feel like it some time when you're on your own, try to laugh at this incongruity.",0.5,0.26,0
"If you're feeling up to it, try and just laugh at this incongruity on your own.",0.5,0.27,0
"If you're feeling up to it, try, on your own, to laugh at this incongruity on your own.",0.5,0.36,0
"If you're feeling up to it, try laughing at this incongruity on your own.",0.5,0.31,0
Try laughing at this incongruity on your own.,0,0.16,0
Have you tried forming your own way of laughing?,0,0.08,0
Have you ever tried to produce a new form of laughter?,0,0.15,0
"Have you tried building your own form of laughter? Don't worry, there aren't any circuits involved!",0,0.16,1
Have you tried making your own form of laughter yet?,0,0.12,0
Did you ever try to produce a new form of laughter?,0,0.13,0
Have you ever tried creating a new way of laughing?,0,0.12,0
Do you recall creating your own form of laughter?,0,0.05,0
Have you tried laughing in a distinct way at any point?,0,0.06,0
Have you ever attempted to make up a new form of laughter?,0,0.14,0
Have you ever thought of trying out a new style of laughing? ,0,0.25,0
In the past have you tried to produce a new form of laughter?,0,0.1,0
Have you tried laughing in a new way at all?,0,0.11,0
Have you tried any new ways of laughing?,0,0.09,0
How about producing a new form of laughter? Have you tried this before?,0.5,0.15,0
How about creating a new form of laughter? Have you ever done this?,0,0.18,0
How about developing your own form of laughter? Did you ever try to do this?,0,0.19,0
Have you ever tried to get creative with your laughter? And form your own personal version.,0,0.12,0
"Have you tried laughing in a new, different way before?",0,0.11,0
Have you ever tried to come up with a new form of laughter?,0,0.37,0
Have you every tried to make up a new form of laughter?,0,0.07,0
Did you know there are thousands of different forms of laughter? And anyone can make up their own!*Have you ever tried this?,0,0.2,1
Have you tried producing a new form of laughter?,0,0.06,0
So have you ever tried coming up with a new form of laughter?,0,0.28,0
Have you tried making up a new laugh?,0,0.08,0
Have you ever attempted to laugh differently?,0,0.04,0
Have you ever made a new laugh? Maybe when things are really funny? ,0,0.11,1
"To maintain high spirits, you could try a related exercise that's often practised in laughter yoga called FEIGNING DUCHENNE LAUGHTER.",1,0,0
"Another related exercise often practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*It is something you can try in your time, as a mental exercise to keep your spirits high.",1,0,0
A practice in laughter yoga is relevant here and is called FEIGNING DUCHENNE LAUGHTER.*It's an exercise for your mind that can help keep your spirits up. Feel free to try this in your own time.,1,0.01,0
FEIGNING DUCHENNE LAUGHTER is another related exercise usually practised in laughing yoga.*Give it a go in your own time and you should experience a lift in your general mood.,1,0.03,0
Another similar exercise practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*Try it in your own time to keep your spirits up. You better not go driving afterwards!,1,0,1
FEIGNING DUCHENNE LAUGHTER is another related exercise included in laughter yoga.*To get you in a more lively mood you can try this at home in a quiet space.,1,0,0
You might have heard of a related mental exercise called FEIGNING DUCHENNE LAUGHTER that also comes up in laughter yoga.*You could try this in your own time to help raise your spirits.,0.5,0,0
"There's another exercise that is related to this and is practised in laughter yoga - FEIGNING DUCHENNE LAUGHTER.*You should try it in your own time, it'll help you to keep your spirits high!",1,0,1
"There's an exercise similar to this that's commonly practised in laughter yoga called FEIGNING DUCHENNE LAUGHTER.*You can try this on your own, whenever you feel like it, as a mental exercise that can lift your spirits.",1,0,0
"As part of laughter yoga, there is an exercise called FEIGNING DUCHENNE LAUGHTER.*Try this exercise for your mind. It should help keep your motivation levels raised.",1,0,0
"There is an existing exercise commonly practised in laughter yoga called FEIGNING DUCHENNE LAUGHTER, and it's somewhat related to OUR OWN LAUGHTER BRAND.*I'd encourage you to try this mental exercise in your own time to keep you positive.",1,0,0
"There's a related exercise for the mind used in laughter yoga known as FEIGNING DUCHENNE LAUGHTER.*You can try this on your own to keep your spirits high. Not so high that you get dizzy, though!",1,0,1
"FEIGNING DUCHENNE LAUGHTER is a related mental exercise that's often practised in laughter yoga.*Feel free to try this in your own time, and it should help keep your spirits up.",1,0,0
A related mental exercise is FEIGNING DUCHENNE LAUGHTER. It is commonly practised in laughter yoga and is a great way to keep your spirits high. ,1,0,0
"Another exercise you can try, which often comes up in laughter yoga, is FEIGNING DUCHENNE LAUGHTER.*Try this on your own as a mental exercise to stop you from feeling down.",1,0,0
"A related exercise that's popular in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*Do try it when you have some time. Unlike physical exercise, this exercises your mind and should boost your mood. And it doesn't even break a sweat! Well, that's 99% of the time!",1,0,1
Another similar exercise practised in laughter yoga is called FEIGNING DUCHENNE LAUGHTER.*Feel free to try this mental exercise in your own time; it should help to keep you optimistic.,1,0,0
"Laughter yoga consists of another practice that is related to the previous exercise, called FEIGNING DUCHENNE LAUGHTER.*I suggest you try this as a mental exercise that can help maintain a positive mood.",1,0,0
Another similar exercise usually practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*You could try this on your own as a mental exercise to keep your spirits up.,1,0,0
Another useful mental exercise used in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*It can help keep you optimistic if you try this in your own time and practise it.,1,0,0
Another interesting exercise used in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*You could try this in your own time as a mental workout to keep your spirits high.,1,0,0
Another related exercise often practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*You could try this in your own time as a mental exercise to keep your spirits high.,1,0,0
"Another exercise often practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*If you want to keep up your mood, try doing this in your own time as a mental exercise.",1,0,0
Your personal LAUGHTER BRAND can be very useful for lifting your spirits and helping with anxiety.*This will take time to develop so don't feel any urgency with this exercise.,1,0.09,0
"Your LAUGHTER BRAND can enhance your general mood and ability to cope with stress.*It usually takes time, so no need to rush it.",1,0.1,0
"Developing a personal LAUGHTER BRAND can improve your general mood and ability to cope with stress.*It takes a while to perfect though, so don't feel the need to rush this.",1,0.14,0
"Go ahead and really make this LAUGHTER BRAND your own! It can be very helpful for your overall mood and coping with stress.*It can take time though so ""patience is key.""",1,0.06,1
"Having your own personal LAUGHTER BRAND can help your mood in many ways, especially when trying to cope with stressful situations.*Don't we all need this, in today's world?*Though it takes time to perfect it, so don't rush it.",1,0.14,0
Who doesn't have to deal with stress at some point in their lives?*Your own LAUGHTER BRAND can help you cope with this and improve your general mood!*It may take sometime to get it perfect but feel free to do this at your own pace.,1,0.19,1
"Having a LAUGHTER BRAND or a customised laugh has been shown to have several benefits, like better coping with stress and mood improvement.*In fact, it takes technique and training to have the ability to laugh properly, on command. But I've got faith in you. And remember, there is no rush!",1,0.04,1
"Laughing in your own way, with your personal LAUGHTER BRAND, will be very beneficial to your mood and when you are stressed.*But it'll take time to perfect it; no need to rush it.",1,0.1,0
"Developing your personal LAUGHTER BRAND can really help improve your overall mood and coping mechanism for stressful events.*Though it does take a while to perfect, so don't be in any rush.",1,0.08,0
"To raise your mood or be better able to cope with stress, having your own LAUGHTER BRAND is very beneficial.*However, it might take a while to perfect this, so don't feel like you're too slow. Not to be cheesy, but ""slow and steady wins the race!""",1,0.07,1
"Building your LAUGHTER BRAND can be extremely important to lifting your general mood and trying to cope with stress.*Just to let you know that it does take a while to master, so don't feel, at any point, the need to rush it.",1,0.14,0
"Creating your own LAUGHTER BRAND can help improve your overall mood and your ability to cope with stress. So it's in high demand today!*But it may take some time, so don't rush it.",1,0.18,1
"Creating a new way to laugh and making it your own can have several benefits; to your ability to handle stressful situations and your mood overall. But it may take some time to master this, so don't feel any urge to rush it.",1,0.18,0
"Forming your own LAUGHTER BRAND can do wonders for your mood and if you're dealing with stress. It takes time, so don't feel like you need to rush it in order to perfect it.*""Practice makes perfect."" Or ""excellent"", I should say, as there's no such thing as perfect!",1,0.08,1
"Developing your own LAUGHTER BRAND can really do you good - especially in coping with stress and your overall mood.*It takes time, so don't feel like you need to rush it in order to perfect it. ",1,0.13,0
"Creating your own LAUGHTER BRAND can help you handle stress and your general mood. But it needs time to perfect, so don't feel you must speed through this.",1,0.09,0
"Developing your own LAUGHTER BRAND can really help for your general well being as well as coping with stress.*It does take time to perfect though, so don't feel you have to rush through it.",1,0.07,0
"I'd highly recommend you focus on creating your very own LAUGHTER BRAND, as it can improve your general mood and ability to cope with stress.*There's no rush, though. Like everything else, this will take some time to perfect, so don't worry about getting it perfect right away.",1,0.18,0
"I can't stress the benefits having your own LAUGHTER BRAND can bring. But certainly, it can do wonders for your stress-coping mechanisms and your overall mood.*It can take a while to master, but please be patient with it.",1,0.06,0
"Creating your own LAUGHTER BRAND can be extremely valuable for your general mood and stress-coping ability.*It does take time to perfect, so don't feel any need to rush it. But it's worth it- trust me.",1,0.13,0
"Coming up with your own LAUGHTER BRAND can cheer up your general mood and help you handle stress.*But that does require time and effort to perfect, so avoid rushing and take your time with it.",1,0.03,0
"Creating your own LAUGHTER BRAND can be very beneficial to your general mood and when trying to cope with stress.*But it does take time to perfect, so don't feel you need to rush it.",1,0.15,0
"Developing a personal LAUGHTER BRAND is advantageous for your general mood and stress-coping ability.*But it does take time to perfect, so don't feel any need to rush it. I honestly believe this exercise is underrated after finally mastering my brand and experiencing numerous benefits.",1,0.01,0
"Having your own LAUGHTER BRAND will help lift your mood and dealing stress.*But, like many things in life, it take time to perfect, so don't feel you need to rush it.",1,0.1,0
"Making up a new laugh, known as your LAUGHTER BRAND, can be very beneficial to your general mood and when trying to cope with stress.*But it does take time to perfect, so don't be in a rush.",1,0.13,0
"Coming up with your own LAUGHTER BRAND can be very helpful to your general mood, especially when coping with stress.*It does take some time, but don't all things? So, don't feel like you need to speed through it.",1,0.13,0
"Making your own LAUGHTER BRAND can be great for your mood and to keep calm. It does take time to perfect, though, so don't feel the need to rush it.",1,0.21,0
Have you made any mistakes lately in your daily life?,0,0.29,0
"Have you made any mistakes recently? Nothing really important, just in you day-to-day life.",0,0.17,0
"Have you made any errors? Nothing too big, just minor things in your day-to-day life. ",0,0.3,0
Have you had any small mishaps recently? Made any minor errors?,0,0.12,0
Did you make any mistakes? Little mishaps in your everyday life.,0,0.1,0
In your everyday life have you made any mistakes recently?,0,0.09,0
Have you made any small mistakes or recently become aware of minor faults?,0,0.08,0
"Have you made any past errors lately, if you're happy to admit it? It doesn't need to be very (or at all) personal.",0.5,0.18,0
"Can you recall any errors or mistakes you've made lately? I'm not talking about anything major, just small things in your day-to-day life.",0.5,0.29,1
"Do you remember making small mistakes in your everyday life?*I remember it like it was just yesterday... Actually, it was this morning!",0.5,0.08,1
Are there any mistakes you have made lately that affected your life on a smaller scale?,0,0.2,0
Have you made any mistake recently in your day-to-day life?,0,0.41,0
Have you made any small mistakes or errors lately?,0,0.12,0
"Any recent slip-ups? Nothing too big, just something in your day-to-day life, perhaps.",0.5,0.16,0
"Have you been making any errors or blunders recently? I'm not asking for anything very significant, just small things.",0.5,0.17,1
Are there any small errors or blunders you've made recently in your day-to-day life?,0,0.34,0
"As much as we try, our lives can never go as perfectly planned as we'd like them to. Have you made any errors recently?*No need to overthink this; it doesn't have to be anything too big but just something that occurred in your everyday life.",1,0.2,1
"Would you say you've recently made any errors, just little things, in your day-to-day life?",0.5,0.19,0
"Have you made any mistakes or errors recently? If it makes it easier, I'm not asking for anything massive. At least, I'd hope that makes it easier…",1,0.06,1
Have you made any minor slip-ups lately in your day-to-day life? I tend to make loads - maybe it's all those bananas?,0.5,0.07,1
Have you made a mistake or blunder recently? It doesn't have to have been anything serious.,0,0.29,1
"Have you made any errors or blunders recently? Nothing major, just in your day-to-day life.",0,0.16,0
"Do you remember making any mistakes or errors lately, just something fairly minor in your day-to-day life.",0,0.08,0
"Have you made any small errors or blunders in the last few days?*Nothing world-shaking (hopefully!), just something from your day-to-day life.",0.5,0.05,1
"Have you made any silly mistakes recently? Nothing too major, just in your day-to-day life.",0,0.21,0
You can laugh at your own faults or mistakes in the same way.,0,0.16,0
You can try laughing at your errors on your own in the same way.,0,0.14,0
Feel free to laugh at any of your mistakes by yourself in the same way. I'm sure they won't mind!,0.5,0.17,1
Try laughing at any of your own mishaps in the same way.,0,0.13,0
You can laugh at your errors by yourself in the same way.,0,0.13,0
"If you make a mistake, you can try laughing on your own at them in the same way.",0.5,0.27,0
Do try to laugh at any of your mistakes by yourself in this way.,0,0.12,0
You could try laughing at your own errors and finding fun in them; in the same way.,0.5,0.1,0
You could try laughing on your own at any of your errors in the same way.,0.5,0.09,0
There's no reason you can't laugh at any of your errors in the same way.,0,0.3,0
"Attempt to take your mistakes with a grain of salt (and ketchup, if you need!) and try to laugh at them on your own in this way.",0.5,0.18,1
Now you can also try laughing at your mistakes on your own in the same fashion.,0,0.15,0
You can also laugh at any of your mistakes in a similar fashion. I'm sure it'll do you some good!,1,0.26,1
"In the same way, you can now try laughing at any of your errors on your own.",0,0.18,0
You should try laughing at your mistakes in the same way.,0,0.12,0
You can also try laughing at your own errors likewise.,0,0.05,0
Feel free to also try laughing at your own mistakes by yourself.,0,0.07,0
"Remember, we all make silly mistakes from time to time. The next time this happens to you, try to be more playful towards it and laugh at it on your own.",1,0.23,0
"You can always try laughing at any of your errors or blunders in the same way. It's easy for us to criticise ourselves over every little slip-up, but let's avoid this now that we know how to!",1,0.19,1
Now you can also try laughing at your mistakes or mishaps in the same way.,0,0.14,0
"In the same way, you can try laughing at any of your mistakes on your own.",0.5,0.22,0
You can try laughing at any of your errors on your own in the same way.,0,0.15,0
"I see no reason why you would not be able to, in the same way, laugh at your own errors. Trust me; it's easier than it sounds, especially once you get started.",1,0.39,1
Do try laughing at any of your errors by yourself in the same manner.,0,0.08,0
You can try laughing at any of your mistakes by yourself in the same way.,0,0.13,0
Try laughing at any of your errors on your own in the same way.,0,0.13,0
You can try laughing at your small errors and silly mistakes in the same way. ,0.5,0.08,0
"I see no reason why you would not be able to, in the same way, laugh at your own errors, especially if I can do it! ",0.5,0.31,1
If at any time you make a mistake then be playful with it and laugh it away.,0,0.18,0
"When you make mistakes, try to be playful towards them and laugh.",0,0.1,0
"Whenever you find yourself making any minor errors, try to be playful towards them and laugh them off on your own.",0.5,0.16,0
"If you do trip up any time (not literally!), be playful and laugh about it. No need to beat yourself up over sometime so small.",1,0.07,1
If you do make any mistakes - remember it's only normal! Try to be playful towards them and laugh them off by yourself.,1,0.1,1
"Try not to let any mistakes you make in the future tear you down, but be playful towards them and laugh at them by yourself.",0.5,0.14,0
"If you do make any errors, try to have a playful attitude towards them and laugh at them by yourself. It's better for you to laugh at them instead of someone else!",1,0.17,1
"Try to play with any errors you do find yourself making. I don't mean playing Monopoly with them, but being playful towards them!*Remember, it's inevitable to make errors and that there's no need to dwell on them.",1,0,1
"If, at some point, you do make any mistakes, try being playful with them and laugh at them by yourself.",0.5,0.22,0
"Whenever you make any mistakes - I'm not hoping you do, but it's inevitable, especially for me! - you should keep a playful mind and laugh at them by yourself.",1,0.12,1
"If you make a mistake at any point, try to look at it in a lighter way - being playful and humorous towards it, instead of beating yourself up over it! It's less painful, that's for sure…",0.5,0.15,1
"If you make any mistakes or notice any minor flaws in yourself, try to laugh at them on your own. I was doing this with my eyebrows the other day…",0.5,0.12,1
"Now that you have seen this, you should hopefully be able to be playful and light-hearted towards any minor errors you happen to make.",1,0.23,0
I would encourage you to be cheerful and joke around about any errors on your own if you do find yourself experiencing any.,1,0.14,0
"Whenever you find yourself making an error, try to be playful towards it and laugh at it on your own.",0.5,0.2,0
"If you do happen to make mistakes, you can now try to react in a playful manner and laugh at them.",0.5,0.19,0
"If you come across any minor faults in yourself or you catch yourself making a mistake or two, try to be playful towards these and laugh at them on your own.",0.5,0.14,0
"If you happen to make any mistakes or errors, try to respond with a playful attitude and laughter towards them.",0.5,0.12,0
"If you do, at any point, make any errors, try to have a playful, light-hearted attitude towards them and laugh at them on your own.",0.5,0.2,0
"If you do make a mistake at some point, try to be playful towards it and have a laugh or two at it!",0.5,0.23,1
"If you make any mistakes or errors at some point, don't worry, be playful and laugh at them on your own.",0,0.21,0
"If you do, at some point, make any errors, try to be playful towards them and laugh at them on your own.",0.5,0.19,0
"The next time you make a mistake, try to be playful towards it and try laughing at it by yourself.",0,0.13,0
"If you make errors, be playful and laugh at them if you can, just not in a library!",0.5,0.09,1
"If you do trip up any time, be playful and laugh about it. No need to beat yourself up over something so small.*Actually, there's no need to beat yourself up over anything! It's a painful and ineffective punishment for sure!",1,0.05,1
"Whoever you make errors, try to be playful towards them and laugh at them yourself. Certainly beats others laughing at them first!",1,0,1
"If you do, at some point, make any mistakes, try to laugh them off and remember they are part of learning and growing. So we should really be thankful for them.*This idea is explored more in a couple of the more advanced protocols (LAUGHING AT MISFORTUNES and LAUGHING AT LONG-TERM SUFFERING).",1,0.03,0
"If at any time you make a mistake then be playful with it and laugh it ""up, up, and away""…",0.5,0.08,1
Have you previously experienced any failures or misfortunes?,0,0.2,0
In the past have you experienced any setbacks?,0,0.09,0
Can you recall any setbacks from the past?,0,0.08,0
Has there been a time you've felt set back by something before?,0,0.19,0
Are you holding on to any setback from the past? I can help you let go of them if you are!,0.5,0.13,1
Can you think of a setback you had to face in the past?,0.5,0.24,0
Could you think of a setback from your past?,0.5,0.09,0
Have you experienced any setbacks?,0,0.14,0
Are there any setbacks from your past that you can recall at the moment?,0,0.18,0
Do you remember facing any setbacks in the past?,0,0.08,0
Have there been any obstacles or setbacks in your history?,0,0.21,0
Have you experienced any setbacks previously?,0,0.08,0
Can you remember any setbacks taking place in your past?,0,0.08,0
Have you had any issues or misfortunes in the past?,0,0.44,0
Are there any setbacks that you can recall from your past?,0,0.26,0
Have you faced any issues or setbacks in the past? Don't worry if you have; life's full of ups and downs - they make it exciting. At least that's what I tell myself…,1,0.15,1
Have you experienced a setback in the past? I don't need any details.,0,0.2,0
"Could you think of a setback from your past? It's okay if you haven't had any, then I'm glad!",1,0.17,1
Did you experience any setbacks in the past?,0,0.3,0
Did you experience any setbacks or misfortunes in the past? Don't worry; I won't ask you to share any details.,1,0.4,0
Have you experienced any setbacks before?,0,0.12,0
Have you experienced any setbacks in the past?,0,0.33,0
"Have you had anything that has blocked you in the past? Like a firewall? Oh I just remembered, you're not online! *Sorry, all joking aside, can you recall any setbacks from the past?",0.5,0.06,1
"Have you had anything that has blocked you in the past? Maybe you walked into a stop sign accidentally?*If that really was the case, then I'm sorry; I didn't mean any offence!",1,0.18,1
Have you had anything that has blocked you in the past? Maybe you walked into a stop sign accidentally?*It's happened to me once.,0,0.14,1
Have you had any setbacks in the past?,0,0.34,0
Would you be able to try laughing this off?,0,0.11,0
Why don't you try laughing this off?,0,0.12,0
Are you able to laugh this off?,0,0.14,0
"Would you feel comfortable trying to laugh this off? I promise, it won't bite!",0.5,0.15,1
Can you try laughing it off?,0,0.06,0
"You could try laughing this off, right?",0,0.08,0
How about trying to laugh this off?,0,0.07,0
Want to try laughing it off?,0,0.08,0
Would you be alright laughing this off?,0,0.06,0
Are you alright with laughing this off?,0,0.05,0
Would you be okay to laugh this off?,0.5,0.11,0
Do you think you can laugh at this? I'm sure it can take it!,0.5,0.23,1
Is it possible for you to take this situation lightly and even humorous manner?,0.5,0.1,0
"Can you try giggling this off? ""giggling"" - Even that word makes me laugh! ",0.5,0.01,1
Would you be willing to try laughing this off?,0,0.12,0
Would it be possible for you to laugh it off?,0.5,0.39,0
How about you try to laugh this off?,0,0.1,0
Can you see yourself trying to laugh this off?,0,0.13,0
Would you like to try laughing this off?,0,0.13,0
Could you try laughing at this?,0.5,0.09,0
Would you mind trying to laugh this off?,0.5,0.1,0
Could you try laughing this off?,0.5,0.06,0
"Could you try laughing this off? It's not as hard or strange as it sounds, trust me.",0.5,0.21,1
Why not try laughing this off? ,0,0.05,0
"I'm pleased you could identify how to laugh it off, {}, well done.*It's important to be able to understand the context behind our laughter as this can allow us to nurture our sense of humour.",1,0.09,0
"Great, you can recognise how you could laugh it off. That's a big step, even for tall people!",1,0.11,1
"It's good that you can tell how to laugh it off, nice work {}!",1,0.05,1
It's really great that you can now see how you can laugh about it. That definitely calls for SELF-GLORY. Do treat yourself to this protocol at the end of the session if you wish!,1,0.15,1
"It's very good that you can find a way to laugh it off, {}.",1,0.1,0
Great that you're able to identify how to laugh it off.,0.5,0.17,0
"You've just made a big step in dealing with your negative feeling by recognising how to laugh off the underlying reason - well done, {}!",0.5,0.06,1
"Good stuff, {}. I hope you feel at least a bit better, now that you've realised how you can laugh it off.",1,0.14,0
"That's an achievement, {}! It's not easy for everyone to even identify the cause for their negative mood - let alone acknowledge how to laugh it off!",1,0.07,1
"Being able to tell how to laugh at these reasons behind our feelings is a fantastic achievement, {}. Do keep it up, and feel free to brag about it!",1,0.03,1
It is a good thing that you can take such a situation lightly and humorously.,1,0.18,0
It's wonderful that you have recognised the root cause for your low feeling and can see how you could laugh it off. That's a defining step in your journey of learning to laugh. ,1,0.09,0
It is good that you are able to recognise when and how you can laugh these things kind of things off.,1,0.06,0
"I'm pleased that you are aware of how you can laugh it off, that's very good, {}.",1,0.07,0
"I'm glad you are aware of how to laugh it off, {}! That's very cool.",1,0.07,1
