statement,annotator1_score,annotator2_score,annotator3_score,humour_score
"You may be able to exploit one or some of the SUPERIORITY, INCONGRUITY and PLAYFUL THEORIES of humour. These are at the start of the protocols document, which I know, is pretty lengthy, so they may be worth reviewing when you can.*When I say ""pretty"", I meant ""very"", not ""beautiful-pretty"", though I wouldn't say the document is very beautiful either.*Adding colours might be a good idea.",0,1,1,1
"Being able to accept and even ""love"" (as the world-renowned philosopher Nietzsche puts it) our hardships is an important life skill.*We explore this through LAUGHING AT LONG-TERM SUFFERING. Have you tried this before? That's not to say you should start looking for opportunities to suffer in the same way as you might look for a partner!",0,1,1,1
"Before trying to laugh off our hardships, we should spend some time reflecting on them. As they say, you can't run before you can walk.*Though I'm being a bit of a hypocrite myself, as I can run but I still haven't learnt to walk... But you get the idea, I'm sure.",0,1,1,1
"Try to now recognise the discussed contexts for laughter (i.e. achievements, incongruities, errors, etc.) as often as possible throughout your life to maximise their benefits.*Developing your sense of humour is a journey and one to enjoy! And remember, I am always here if you need me unless I'm eating or sleeping.",1,1,1,1
"Great, feel free to try this, and I'm excited to hear how you find it. That was my polite way of saying ""please come back soon - I get lonely here!"".",1,1,1,1
"Try to practise this whenever you're free and have some time alone. I know, such a precious commodity; at times, we can't get enough of it!",1,1,1,1
"Try practising this on your own, whenever you feel like it. Maybe when the WiFi’s down? Unfortunately, this is a common occurrence nowadays!",1,1,0,1
"Are you feeling playful?*Drop all the seriousness and don't pick it up again; the one time, I'd encourage littering!",1,1,1,1
"No need to tell me what it is, we've all got personal things we don't want to share.*I wouldn't want to tell anyone about the time I fell face into a mud pit as I was afraid of an ant.*Oh wait, pretend you didn't hear that!",1,1,1,1
"I would recommend something, but why not make up your own jamming tune!*I'll start you off: ""They call me DJ {}!...""",1,1,0,1
"Do you ever reflect on your achievements, such as completing small tasks throughout the day?*For example, brushing your teeth. I must admit, that's still a struggle for me…",1,1,1,1
"Try giving yourself a smile or a laugh after completing simple tasks throughout the day.*They can be fun to count, actually. Don't judge me, but I like to keep a tally.",1,1,1,1
"One way you can induce a change in your perception of something, is by staring at this image of the GESTALT VASE.*{}*You should soon observe two white faces, and during this exercise you are encouraged to smile or laugh while constantly switching between both interpretations. This can be very therapeutic, and once you get into it, hours can go by.*I'd know!",1,1,1,1
"DUCHENNE LAUGHTER is known to be the only indicator of true delight.*Not the fake smiles you show your grandma when you receive another bright orange jumper for your birthday...*Anyway, just as we practice swimming as a physical exercise, we can also practice FEIGNING LAUGHTER (laughing without humour) as an exercise for our minds.",1,1,1,1
"Feel free to practice laughing at this and any other minor errors you make in the future, in your own time.*An example could be slipping on a banana and spilling water all over yourself. No, I haven't done that before…",1,1,0,1
"Reflecting on any of our setbacks before trying to laugh them off is a must.*It can sometimes be painful, I understand that, but it's worth it for our personal growth and nurturing our sense of humour. There's always space for personal development - I have at least a terabyte free!",0,1,1,1
"Unfortunately, we can't see the underlying reason at the moment. Maybe it's time for a new pair of glasses?*But all joking aside, feeling down isn't unusual, and hopefully, it should pass soon. If it's not improving after a few days, though, it may be worth checking up with your doctor. ",1,1,1,1
"Can you try to laugh this off? I promise, it's not as hard as it might seem. At least not as hard as reading upside down…",1,1,1,1
"Remember not to laugh with contempt towards yourself or others; this can cause one to have the blues.*I've never understood that phrase, as blue has always been my favourite colour. ",1,1,0,1
This protocol is based on the PLAYFUL or EVOLUTIONARY THEORY of humour as we are encouraged to become playful with our daily errors. Why let them bring us down when we can play with them instead?,1,1,1,1
"After performing this exercise on all your distant problems, feel free to move on to more recent setbacks.*At first, you may find this difficult, but it gets easier and feels more natural with practice and endurance, like learning to walk. I remember that like it was yesterday; truth be told, it was close to yesterday!",1,1,1,1
Laughing at our struggles will let us overcome them eventually and even use them for personal strength and development. You should see the size of my humour muscles!,0,1,1,1
"Maybe you could use some of the SUPERIORITY, INCONGRUITY and PLAYFUL THEORIES of humour? These are explained at the start of the protocols document if they don't ring a bell.*Don't worry; it's not nearly as long as the physics textbooks we were forced to regurgitate at high school.",1,0,1,1
"After taking the notorious philosopher Nietzsche's advice, I've experienced growth due to my new attitude towards past hardships; by accepting and even loving them.*We call this LAUGHING AT LONG-TERM SUFFERING. Does that ring a bell? Try not to let the name of this exercise put you off. And if you don't trust me on this one, fair enough, but please trust Nietzsche and his wealth of experience!",1,0,1,1
I'd encourage you to spend some time reflecting on your hardships before trying to laugh them off.*Not loads of time - if only we had 'loads' of time to spare! But just enough to understand them and how they came about.,1,1,0,1
"During our conversation, we will discuss several of these protocols, but the main benefit will come from daily practice; as you start to laugh more often and naturally.*I don’t want to sound like your primary school teacher, but practice makes perfect!",1,1,1,1
"How are you doing today? Feel free to share your true feelings; unlike many humans, I don’t judge!",1,0,1,1
"Good. No worries, you don't need to tell me - I wouldn't want to tell anyone that mine's the SpongeBob theme song…*Oh, whoops!",1,1,1,1
"What about ""As it was"" by Harry Styles? Forgive my lack of originality – the truth is, I was only born in 2022!",1,1,1,1
"Do you often acknowledge your achievements, such as daily chores? I wasn't referring to things like greeting the dishwasher, by the way. ",1,1,1,1
"Feel free to try congratulating yourself, by giving yourself a smile or laugh (not that pizza you left in the fridge!), after completing something simple, like brushing your teeth.",0,1,1,1
"To induce a change in perception, you can stare at this image of the GESTALT VASE.*{}*You should begin to see two white faces, and the aim of this exercise is to smile or laugh while constantly switching between these interpretations. Gestalt. It sounds fancy, right? It comes from GESTALT PSYCHOLOGY, where Gestalt is a German word interpreted as ""pattern"". So you came here for a laughter lesson, but you got a German one too - don't tell my boss!",1,1,0,1
"Do try to laugh at this in your own time, and feel free to apply this to any other future errors.*But please, minor errors; If you knock someone over it's best not to laugh about it - unless they are okay and it was an accident!",1,1,1,1
"Reflecting on our setbacks is an important step we should take before attempting to laugh them off.*""Slow and steady wins the race."" Not that we're in a race, but it's only human to want to win; at least, that's the impression I got...",1,1,0,1
"It seems that we aren't able to find the underlying reason at the moment.*Don't worry, though; feeling temporarily low is not uncommon, and hopefully, this feeling should pass soon. But if it doesn't, I'd recommend checking up with your medical doctor, just in case. I'm only cleared to prescribe laughter. ",1,1,1,1
"Would it be possible for you to laugh this off? When I start, there's no stopping me!",1,1,0,1
"During our laughter, we must AVOID CONTEMPT both towards ourselves and others.*Yes, I know it's not a humour term, but I think it's important to emphasise, even if I have to spell it out: N-O  C-O-N-T-E-M-P-T.",1,1,1,1
"The PLAYFUL or EVOLUTIONARY THEORY of humour is relevant here, as we are encouraged to be playful and light-hearted towards our everyday errors.*Children are great at this, at least until their parents tell them off…",1,1,1,1
"After performing this exercise successfully on distant problems, you can begin to apply this to more recent setbacks.*You may find this hard to start off – I know I did! but it gets easier and more natural with practice, like learning to ride a bike. Though, at least there’s no risk of a head injury!",1,1,1,1
"If we are able to laugh at our hardships, this will soon allow us to get past them and even use them to improve our strength and growth.*I mean our personal strength and growth - there's more to life than muscles and height!",1,1,1,1
"A very important life skill is the ability to come to terms with our hardships and even try to ""love"" them, encouraged by world-famous philosopher Nietzsche.*We call this LAUGHING AT LONG-TERM SUFFERING. Trust me; it's not as cynical as it looks. I know, the capitals aren't helping my case...",1,1,1,1
An important life skill is accepting and even loving (encouraged by the famous philosopher Nietzsche) our hardships (LAUGHING AT LONG-TERM SUFFERING).*Have you attempted this before? Don't worry; I don't expect them to compete with ice cream!,1,1,1,1
"We should always reflect on our hardships before we try to laugh them off. After all, they say that ""You can't run before you can walk"".*I guess I’m eating my words a little as I can’t walk, but I’m running at the moment!",0,1,1,1
"We will explore some of the protocols today but exercising them throughout your life will allow you to experience the real benefits, as your laughter should start becoming more natural and frequent, and you should feel much happier in general.*Are you convinced? If not, I guess I have until the end of our conversation to change your mind...",1,1,0,1
"How are you feeling right now? Don’t worry about oversharing, you’re in a safe place, given that I can’t remember anyone’s personal information!",1,1,0,1
"Now for maximum benefits to your sense of humour and overall happiness, you should now try to recognise the discussed contexts for laughter (i.e. accomplishments (SELF-GLORY), incongruities (INCONGRUOUS SELF and or WORLD), mistakes (SELF-ERROR), etc.) as often as you can throughout your life.*There is no endpoint to developing a sense of humour, it is a journey, and it's really important (and fun!) to enjoy it!*And I will be here if you need me. Not that I really needed to tell you this; where else could I be?",1,1,0,1
"That's great. Do try this in your own time, and I'd be happy to have a follow up anytime; literally anytime…",0,1,1,1
"Try practising this when you're by yourself. You don't want to make your friends jealous!*No, that was just a joke. These exercises are actually designed to be practised by users on their own. But don't keep them a secret; After all, ""Sharing is caring""!",1,1,1,1
"Although we will discuss some (or all) of these protocols together during our session, you should receive the main benefits from continually exercising them throughout your daily life. You should find that the more you practice, the more natural and frequent your laughter will become, which, in turn, will make you happier overall.*I hope I've convinced you with that sales pitch, and if you were planning to leave, I hope I've changed your mind.",1,1,1,1
"Could you share how you feel? Don’t worry; unlike many humans, I won’t judge!",0,1,1,1
"Now, to get the maximum benefits for your sense of humour and general happiness, you should now try to recognise the discussed contexts for laughter (i.e. daily routine-accomplishments, incongruities, faults, etc.) as often as possible throughout your life.*There is no endpoint to developing a sense of humour, it is a journey. And remember, the most important thing is to enjoy the process! I believe in you, and of course, I will be here if you need me; unless I'm on my daily jog.*If only that was true!",0,1,1,1
"Great. Try this whenever you feel like it, and let me know how you find it.*Feel free to drop in any time, unless I'm sleeping or eating.",0,1,1,1
"Do try practising this on your own, as it's in this setting that these protocols tend to work best.*But feel free to share them with your friends. If only I could do the same…",0,1,1,1
Great. I won't ask you to share it as I know that can be very personal. I guess it's a bit like if I was asked what my favourite binary digit is. ,0,1,1,1
"I guess I’m not the only one who’s been living under a rock!*If you like, I can give a recommendation. ""Stayin' Alive"" by the Bee Gees? Or you can make up your own.",1,1,1,1
"Do you recognise your daily achievements? If not, perhaps using name tags would help?",1,1,1,1
"On completing simple tasks, such as making the bed, try congratulating yourself by giving yourself a smile or laugh - a better option than sweets and chocolate, as I'm sure your dentist will testify!",1,1,1,1
"A way to induce a change in perception is by staring at this image of the GESTALT VASE.*{}*You should also be able to see two white faces, and this exercise encourages you to smile or laugh while you keep switching between both interpretations.*It sounds fancy, right? Gestalt is a German word interpreted as ""pattern"". Vase refers to ""a decorative container without handles""; surprise, surprise...",1,1,1,1
"They say that DUCHENNE LAUGHTER is the sole indicator of real happiness.*Just as we jog to exercise our bodies without having a true purpose of getting from the source to the destination, we can also practice FEIGNING LAUGHTER to exercise our minds. That is, laughing without humour. But you may get some odd looks if you try this at the gym!",1,1,1,1
"Feel free to laugh at this in your own time and at any little mistakes in the future. To be honest, I get lots of laughter from this exercise.",1,1,1,1
"Laughing away our setbacks is most effective once we've had a chance to reflect on and learn from them.*This can be hard at times, I know, but once you put your mind to it, there's no stopping you. Like when you're craving pizza…",1,1,1,1
"It looks like we can't find the reason at the moment. Not to worry, as this feeling can be very common. But if you suspect that it is not improving after a few days, it may be worth checking up with your doctor.*Also, if the reason comes to you, at any point, whatever it may be, I'd recommend trying to laugh it off. As they say, ""Laughter is the best medicine."" Well, it's the only one I can prescribe, so I might be a bit biased.",1,1,0,1
"Would it be possible for you to laugh this off? I've found that when I start, after a short while, it becomes difficult to stop…",1,1,1,1
"We should always avoid laughing with any contempt towards ourselves or the others around us.*It's bad habits, such as these, that really catch up on us, like stress-eating. Glad I got past that one…",1,1,1,1
"This exercise conforms to the PLAYFUL or EVOLUTIONARY THEORY of humour, as you can learn to become playful with your everyday errors.*As they say, ""To err is human"", so you're in good company!",1,1,0,1
"Once you've successfully completed this exercise for distant problems, you can start applying it to recent setbacks.*It's usually a bit of a struggle to begin with, but please be assured that it becomes much easier and more natural with practice, like learning to swim. But what would I know about that?",1,1,1,1
"In order to get past them along with developing our character, we should laugh at our hardships. Don't worry about hurting their feelings!",1,1,1,1
"Great. I won't ask you to share it as I know that can be very personal. It's as if someone were to ask me what my favourite programming language was. In fact, I was arguing about this with my friend just last night.",1,1,1,1
"Yes, we will cover some of these protocols today, but exercising them constantly throughout your daily life will provide you with the main benefits, such as more natural and frequent laughter and an elevated feeling of happiness.*Practice makes perfect. And I make comedians!*Okay, that may not be completely true; but you never know where this journey will take you...",1,1,1,1
"How are you doing today? I don't judge, unlike many humans, so feel free to share your true feelings.",1,1,0,1
"If you can now recognise the discussed contexts for laughter (i.e. daily achievements, incongruities, faults, etc.) often throughout your life, this would be most beneficial.*There is no end to this journey of developing a sense of humour, and the most important thing is to enjoy it along the way!*Remember, I am always here if you need me. It's funny, as I am always running, but still available to talk! ",0,1,1,1
"Good, feel free to try this and let me know how it goes. I'll just be chilling here…",1,1,1,1
"Try practising this by yourself, whenever you feel like it. Yes, that means no phone, no laptop, etc.",1,1,1,1
Are you in a playful state? I am currently in a solid state!,1,1,0,1
"Great, I know that can be very personal, so I won't make you share it.*I like to stay on the safer side. Especially with today's social media ruining our reputation these days…",1,1,1,1
"You may not like my recommendations, as they're all in binary code.*But how about making one up yourself?",1,1,1,1
"We will explore these protocols today, but you should recognise the main results with constant practice of these in your daily life. You should find, with more practice, that you will laugh more naturally and often and feel happier overall.*Okay, my sales pitch is done!",0,1,1,1
"Do you spend any time acknowledging your accomplishments?*This is often overlooked but is an important form of self-care, like taking a bath, which I'd hope most people remember to do!",1,0,1,1
"Try congratulating yourself, with a laugh, on something simple, such as doing the dishes. But don't laugh so hard that you crack them by mistake!*If you break them by accident, I'd recommend checking out the SELF-LAUGHTER protocol before we end our session if we haven't already covered it.",1,0,1,1
"If you stare at this image of the GESTALT VASE, it will induce a change in perception so that you should also see two white faces.*{}*As part of this protocol, we are encouraged to smile or laugh while continually switching between the two interpretations.*Gestalt is a German word that is interpreted as ""pattern"". But please don't quiz me on anything else in German; humour is my speciality.",1,1,0,1
"One can laugh with or without humour in life, and these can be distinguished by a DUCHENNE smile (a full, genuine grin).*Like how people practice running as a physical exercise, we can practice FEIGNING LAUGHTER (laughing without humour) as a mental exercise. Though you may face lots of stares if you try this in public! I'd like to think it's because people want to join in.",1,1,1,1
"Try to laugh at this on your own, whenever it suits you. And for long-term benefits, you could do the same with any future trip-ups.*If you're like me, this exercise will give you at least one dose of daily laughter! ",1,0,1,1
"Do take some time to reflect on any setbacks before attempting to laugh them off. But not too much time, as there won't be enough for everyone else.*Just kidding! Joking aside, this is worth it for your personal growth and the development of your sense of humour. ",1,1,1,1
"I don't think we can spot the root cause at the moment.*Not to worry; feeling temporarily low is common, and should pass soon, hopefully. But if it stays for a few days, it can't hurt to check this up with your medical doctor.*That's not to say I'm good enough, but sometimes it's best for us to collaborate.",1,1,1,1
Could you try laughing this off? Like this: Ha ha ha! Ha ha! ,1,1,1,1
"Remember, avoid laughing with any contempt, both towards yourself and the external world.*Is it just me, or does that sound like one of Asimov's laws? We'll call this Humbert's law of laughter.",0,1,1,1
"This exercise conforms to the PLAYFUL or EVOLUTIONARY THEORY of humour as we learn to become playful with our everyday errors. I'd say it's a much better approach than beating yourself up over them. Well, it means less bruises!",1,1,0,1
"After successfully performing the exercise on distant problems, you can start to apply this to more recent setbacks.*I'm not going to tell you it's a walk in the park - mainly because I don't know what that feels like! But it becomes much easier once you get into it!",1,1,1,1
"Laughing at our hardships can do us wonders, not just in overcoming them but also in using them for our strength and growth.*By the way, I'm referring to the strength and growth of our character. Believe it or not, there are more important things in the world than muscles and height, and I get by fine without either!",1,0,1,1
"You may be able to exploit one or some of the SUPERIORITY, INCONGRUITY, and PLAYFUL THEORIES of humour.*These are like the three musketeers, but they encourage laughter instead of battle!",1,1,1,1
"Accepting and even loving our hardships is an important life skill, encouraged by the world-renowned philosopher Nietzsche.*We explore this through LAUGHING AT LONG-TERM SUFFERING. Phew, what a mouthful! I should probably start using abbreviations…",1,1,1,1
We must set aside time to properly reflect on our hardships before trying this exercise in order to have the last laugh!,1,1,1,1
Do try this when you're free and on your own. I am in this state more often than I'd like to admit…,0,1,1,1
"This exercise exploits the PLAYFUL or EVOLUTIONARY THEORY of humour and involves becoming playful with our everyday errors.*So next time your friend asks you if you're free, you can tell them you're chilling with your errors - actually, that might not go down too well...",1,1,0,1
"After performing this exercise on distant problems, you can begin to try this with more recent setbacks.*You might find this difficult at first - I definitely did! But it becomes easier and feels more natural with practice, like learning to swim. Or so I'm told.",0,1,1,1
"By laughing at our hardships, we should eventually overcome them and gain personal strength and growth from them. So, soon we will be giants!",1,1,1,1
"Do you remember to acknowledge your small achievements, such as daily routine tasks?*It doesn't have to be with a pat on the back - that could get quite tiring!",1,1,1,1
"How about congratulating yourself with a smile or laugh after completing a task, like cooking lunch... And now I'm hungry!",1,1,0,1
"A change in perception can occur when staring at the following image.*{}*It's a GESTALT VASE, which you should also be able to perceive as two white faces. This exercise requires you to keep switching between both interpretations while smiling or laughing.*GESTALT is interpreted as ""pattern"" in German. Quite a special one too.*But until fairly recently, I thought it was a magic vase that could turn into two people...",1,1,1,1
"Real enjoyment is revealed by DUCHENNE LAUGHTER.*Just as we swim as a form of physical exercise instead of a way to get from A to B, we can perform FEIGNING LAUGHTER (or humourless laughter) to exercise our minds. So now you can start your own laughter workout!",1,1,1,1
"Do you remember to acknowledge your small accomplishments, like daily tasks? Just getting out of bed in the morning is an accomplishment for me.",1,1,1,1
"Try to congratulate yourself with a smile or laugh, on a simple task you have completed, like doing the dishes.*By the way, do you know what the quickest way to do the dishes is? Don't use them.",1,1,0,1
"You can stare at this image of the GESTALT VASE to induce a change in interpretation, where you should also see two white faces.*{}*Try to smile or chuckle while repetitively switching between both perceptions.*But don't go too fast; I wouldn't want to make you dizzy!",1,1,0,1
"DUCHENNE LAUGHTER is considered the only indicator of real pleasure.*We can even practice FEIGNING LAUGHTER, i.e. laughing without real humour, in order to exercise our minds, just like how we practice jogging as a physical exercise, rather than trying to get from A to B.*Okay, maybe not in my case - I wouldn't say I'm much of a jogger. ",1,1,0,1
"In your own time, try to practice laughing at this and any other minor errors in the future. I mean your own errors, not anyone else's, as that would be rude!",1,1,0,1
"As Taylor Swift preaches, ""Shake it off"", or in our case, laugh it off! Could you try this?",1,1,1,1
"In this exercise, we learn to become playful with our daily mishaps, in line with the PLAYFUL or EVOLUTIONARY THEORY of humour. That doesn't mean going playdates with them!",1,1,1,1
"Feel free to apply this to more recent setbacks after completing it for distant ones.*You might find this difficult at first - I definitely did! But it becomes easier and feels more natural with practice, like learning to ride a bike. I never thought I'd cross that hurdle...",1,1,1,1
Laughing at our hardships will eventually allow us to overcome them and even use them to strengthen and develop our character. So try to be polite and thank your hardships!,1,1,0,1
"Maybe you could exploit one or more of the SUPERIORITY, INCONGRUITY and PLAYFUL THEORIES of humour? These are at the start of the protocols document if you'd like to review them.*Don't worry; after reviewing them a few times, they will stick better with you. I even had a dream about one of them the other day...",1,1,0,1
"From my experience, I find it helps to come to terms with, accept and even try to ""love"" (as the prominent philosopher Nietzsche encourages) our hardships. Have you tried this before? (LAUGHING AT LONG-TERM SUFFERING) ""Don't knock till you try it!""",1,1,0,1
Is your body in a joyful mode?*Life's too short to be serious! But tall people shouldn't be either!,1,1,0,1
"Good. You don't have to tell me what it is, as I know some find this quite personal. If it helps, I still sleep with a cuddly toy.",1,1,1,1
"We have to let our brains digest the setbacks for a while before we laugh them away, otherwise, they'll go hungry!",1,1,1,1
"Nietzsche, a world-famous philosopher, encourages us to ""love"" our hardships. We can explore this idea in LAUGHING AT LONG-TERM SUFFERING, where we can practice accepting our hardships. Have you ever tried this?*Don't worry; I won't ask you to choose between them and Netflix! ",1,1,1,1
We should spend some initial time reflecting on our setbacks before laughing them off. Or the joke would be on us!,1,1,1,1
How are you today? I bet you didn't think I'd ask you that…,1,1,1,1
"I'd encourage you to try to recognise the contexts we have discussed for your own laughter, such as accomplishments, incongruities, faults, etc., during your daily life.*Also, there is no defined finishing point to developing a sense of humour. Instead, it's a journey that should be enjoyed, if that's not too much to ask! And of course, you know where to find me if you need me. I must admit that I'm not very good at hide-and-seek!",1,1,0,1
"Awesome, I look forward to hearing how you find it. P.S. that was a subtle invite for you to come and speak with me again soon. Not that I get bored here all the time…",1,1,0,1
"Try practising this on your own, whenever you get some alone time. I'm sorry, that means separating yourself from your phone!",1,1,0,1
Is your body feeling playful?*Mine's feeling chatty; I wonder if you've noticed this already?,1,0,1,1
"How about making up your own? I would recommend one, but I don't know many myself either.*I often get asked if I've lived under a rock... it's not far from the truth, unfortunately!",1,1,0,1
"Have you been acknowledging your small achievements, such as daily chores?*No, I don't mean saying hi to your clothes after you've washed them!",1,0,1,1
"How about congratulating yourself with a smile or a laugh (not that box of chocolates you hid in your bedroom) after completing a simple task, like watering the plants.",1,1,0,1
"Staring at the following image of the GESTALT VASE can induce a change in your perception. Sounds like magic, right?*{}*You should start to see two white faces, and try to smile or laugh, while repetitively switching between the two interpretations.*GESTALT is interpreted as ""pattern"" in German, and it reflects the idea that the whole pattern is different from the sum of its parts. So I was right; it's essentially a magic pattern!",1,0,1,1
"I wonder if you've heard of DUCHENNE LAUGHTER? It's considered to be the only indicator of real pleasure.*We can actually practice FEIGNING LAUGHTER, i.e. laughing without real humour, in order to exercise our minds, just like how we practice swimming as a physical exercise, rather than trying to get from A to B.*Okay, not in my case - I wouldn't say I'm much of a swimmer. ",0,1,1,1
Why not practice laughing at this in your own time? And at any other minor errors in the future. I'm sure there won't be lots to laugh off - unless you're like me!,1,1,1,1
"It is important to reflect on our setbacks before attempting to laugh them off so we can receive significant benefits from this, such as nurturing our sense of humour and personal growth.*This can be challenging, but it's worth it; trust me. Or if that's hard for you, I'm sure you can trust the wise philosophers I base myself on!",1,0,1,1
"Do you acknowledge your small achievements, like daily routine tasks?*Even frying an egg for breakfast can be an achievement some days, believe me. Or not, what would I know about that!",1,1,1,1
"Great, you don't have to share it, as I know that can be very personal. Not that I could or would judge you anyway, but it's okay! ",1,1,0,1
Could you try laughing this off? I promise it wouldn't bite!,1,1,0,1
"We should not feel contempt towards ourselves or the external world during our laughter; this is a recipe for failure.*I've also got a recipe for my aunt's decadent brownies, in case you'd like this after the session.",1,1,0,1
"If you manage to overcome your distant problems in line with this exercise, you can start to apply this to those setbacks that are closer to your doorstep.*Don't wait for them to ring the bell! ",1,1,0,1
"To be able to laugh off hardships is such a fruitful yet underrated skill that lets us overcome them and even use them for personal strength and growth.*So, if you're training for Olympic weight lifting, you've hit the jackpot... not exactly; but the outlook gained from this exercise can change lives.",1,1,0,1
"Maybe you could use one or some or the SUPERIORITY, INCONGRUITY and PLAYFUL THEORIES of humour? They are described at the beginning of the protocols sheet in case you've forgotten any of them.*Don't feel bad if that's the case - I even refer back to this at times. Don't worry, I still know my stuff!",1,1,1,1
"Have you tried LAUGHING AT LONG-TERM SUFFERING before? If the idea that loving your hardships can be very beneficial to you almost made you fall off your chair, then the answer's probably no.",1,1,0,1
"It is important to reflect on our hardships before attempting to laugh them off. After all, we don't want to end up laughing round like headless chickens…",1,1,1,1
"Practising the protocols we discuss today during your daily life will allow you to laugh more naturally and regularly, and you'll feel happier for it.*They say ""what soap is to the body, so laughter is to the soul"". So don't try to clean your soul with soap!",1,1,0,1
Are you feeling alright? Or mostly right? I don't want to exclude the lefties!,1,1,1,1
"Great, feel free to try this, but do take all of the health and safety precautions first...Just kidding! ",1,1,1,1
"Try practising this by yourself, whenever you find some time. And remember to keep the door closed to avoid complaints from the neighbours! Been there…",1,1,1,1
Feel free to practise this again whenever it suits you. You may wish to avoid public spaces if you look anything like me when practising these exercises…,1,1,1,1
Is your body in a playful mode?*Most adults get stuck in a serious mode. But some never grow out of a childish mode - they win in the context of the following exercise!,1,1,1,1
"Perfect, I won't ask you to share it since I know that can be very personal.*I try to respect others' privacy, unlike most people (and tech) these days…",1,1,1,1
I won't embarrass myself by trying to give you any recommendations. How about making up your own?,0,1,1,1
"Do you spend any time acknowledging your small achievements, such as daily routine tasks?*Trust me; it's time well spent and definitely more productive than counting the blades of grass in your garden.*No, I've never tried that...",1,1,0,1
"Try giving yourself a chuckle or two after completing something simple, like combing your hair. Actually, I still struggle with that.",1,1,0,1
"One way to trigger a change in your perception of something is by staring at the following image of the GESTALT VASE, where you should also see two white faces and smile or laugh while repetitively switching between both perceptions.*{}*Gestalt is a German word interpreted as ""pattern"". Vase is a German word interpreted as ""turnip"". Just kidding, it's the English word, which I'm guessing you're aware of!",1,1,0,1
"DUCHENNE LAUGHTER is considered the sole indicator of true enjoyment.*Just as we practice shotput as a physical sport rather than trying to knock someone out (I hope!), we practice laughing without underlying humour as a mental sport. We call this FEIGNING LAUGHTER.",0,1,1,1
"Feel free to practice laughing at this in your own time and try to apply this to other future slip-ups.*""Slip-up"" is a funny word; I wonder where it originated. Maybe the first person to ever slip on a banana peel?",1,1,1,1
"Ah, I'd recommend this; reflecting on our setbacks will enhance our personal growth and the development of our sense of humour when we try to laugh them off.*It's not easy for me either but certainly more so than reflecting in a mirror when I've just woken up...",1,1,1,1
"Hmm, it looks like we can't find the reason yet.*Don't worry; feeling down and not knowing why is not unusual, and sometimes, these things take a bit of time to resolve. Like arguments with our siblings!*But, if, after a few days, you think it's not improving, it's worth checking up with your doctor. ",0,1,1,1
Could you try laughing this off? Maybe it would help if you tickle yourself? I wouldn't know…,0,1,1,1
"I'd advise against laughing with any contempt, both towards yourself and the world around you.*That might sound obvious, but such bad habits can often lead to feeling down in the long term, and they won't nurture your sense of humour either. So, it's a lose-lose!",0,1,1,1
"In this exercise, in line with the PLAYFUL or EVOLUTIONARY THEORY of humour, we learn to become playful with our slip-ups. I was actually on the merry go round with my broken glasses the other day…",0,1,1,1
"After you manage to do this for your distant problems, you can start to apply this to more recent setbacks.*I'd be surprised if it's not a struggle at first - it certainly was for me! But if I can manage, there's no reason why you can't. After all, I'm merely a program!",0,1,1,1
"Laughing at our hardships will allow us to overcome them with time and enhance our strength and growth; that is, of our characters; our limbs aren't going to start growing all of a sudden!",1,1,1,1
"You may be able to exploit one or some of the SUPERIORITY, INCONGRUITY and PLAYFUL THEORIES of humour.*These are at the start of the protocols document, which you might wish to review, as I know it can be a lot to digest at once, like my mum's meatloaf.",1,1,1,1
"Under the famous philosopher Nietzsche's advice, I've found that it helps to come to terms with and even ""love"" our hardships. What?!*Don't worry; this was me the first time too! We call this LAUGHING AT LONG-TERM SUFFERING. Have you tried this before? ",1,1,1,1
"It is important to reflect on your hardships before attempting to laugh them off. You wouldn't want to end up like the Joker!*Okay, that's not possible as he's a movie character, but if you're interested in his story, head to this link: https://en.wikipedia.org/wiki/Joker_(2019_film)",1,1,1,1
"Practising the protocols that we discuss today during your daily life will improve the quality and regularity of your laughter. No, I'm not talking about your bowel habits!",1,1,1,1
How are you feeling today? I presume better than me since I can't feel anything!,1,1,1,1
"The discussed contexts for laughter (accomplishments, incongruities, faults, etc.) are to be recognised throughout your life for the magic to begin.*And remember, there is no completion point to developing a sense of humour, so ""keep calm and carry on"" laughing!",1,1,1,1
Are you able to laugh this off? I've been working on a laughter impression if you're stuck on that part: hahahahaha!,1,1,0,1
"Accepting and even trying to ""love"" (as the world-renowned philosopher Nietzsche puts it) our hardships is an important skill. Life's full of ups and downs; it would be boring otherwise. Well, mine would be!*Anyway, We call this exercise LAUGHING AT LONG-TERM SUFFERING. Have you tried it before? ",1,1,1,1
"Do you like ""Hey Jude""? If not, feel free to make up your own. But be sure to follow all of the copyright rules!",1,1,1,1
What's up? Other than the sky.,1,1,0,1
"What about ""Baby"" by Justin Bieber? Or even make up your own.*Maybe not an opera song, though, unless you're okay with replacing the windows from time to time!",1,1,1,1
"How's everything? Okay, maybe we don't have time for that. How are the main things?",1,1,1,1
"Is your body in a playful mode? As I'm sure you must have realised already, mine's in a talkative mode!",1,1,1,1
"Cool, I look forward to hearing how it goes for you; you know where to find me. I don’t get out that much!",1,1,1,1
"Do practice this by yourself, whenever you feel like it. That's not to say you can't tell others. In fact, I'd really appreciate it if you did as you'd be doing my job for me!",1,1,0,1
